teamName,year,division,village,grandPrizeLevel,top10,medal,specialPrizes,villageAwards
"Aachen","2020","Graduate","Foundational Advance","1st Runner-up","false","Gold","Best Hardware (Nominee) | Best Model (Nominee) | Best Poster (Nominee) | Best Presentation (Nominee) | Best Promotion Video (Winner) | Track (Winner)",""
"Aalto-Helsinki","2020","Graduate","Environment","","false","Gold","Best Integrated Human Practices (Nominee) | Track (Nominee)",""
"ASTWS-China","2020","High School","High School","","false","Gold","Best Model (Nominee)",""
"Athens","2020","Undergraduate","Manufacturing","","false","Silver","Best Promotion Video (Winner)",""
"Baltimore_BioCrew","2020","High School","High School","","false","Gold","Best Integrated Human Practices (Nominee)",""
"BHSF","2020","High School","High School","","false","Gold","Best Promotion Video (Winner)",""
"BITSPilani-Goa_India","2020","Undergraduate","Food & Nutrition","","false","Gold","Best New Composite Part (Winner) | Best Software Tool (Winner)",""
"Calgary","2020","Undergraduate","Food & Nutrition","","false","Gold","Best Hardware (Nominee) | Best Integrated Human Practices (Nominee) | Best Measurement (Nominee) | Best Supporting Entrepreneurship (Nominee) | Best Sustainable Development Impact (Nominee)",""
"CCA_San_Diego","2020","High School","High School","","false","Silver","Best Education (Nominee)",""
"CCU_Taiwan","2020","Undergraduate","Diagnostics","","false","Gold","Inclusivity Award (Nominee)",""
"CLS_CLSG_UK","2020","High School","High School","","false","Silver","Inclusivity Award (Nominee) | Best Poster (Nominee) | Best Presentation (Nominee) | Best Wiki (Nominee) | iGEMers Prize (Winner)",""
"Concordia-Montreal","2020","Graduate","Software","","false","Gold","Inclusivity Award (Nominee)",""
"CPU_CHINA","2020","Undergraduate","Therapeutics","","false","Gold","Best New Composite Part (Nominee)",""
"CSMU_Taiwan","2020","Undergraduate","Diagnostics","","false","Gold","Best Measurement (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee)",""
"DNHS_SanDiego_CA","2020","High School","High School","","false","Gold","Best Poster (Nominee) | Best Presentation (Nominee)",""
"DTU-Denmark","2020","Graduate","Manufacturing","","false","Gold","Best Model (Winner) | Best Part Collection (Winner) | Best Poster (Nominee) | Best Software Tool (Nominee)",""
"Edinburgh","2020","Graduate","Environment","","false","Gold","Best New Composite Part (Nominee) | Best Part Collection (Nominee)",""
"Evry_Paris-Saclay","2020","Graduate","New Application","","false","Gold","Best Measurement (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Track (Nominee)",""
"FCB-UANL","2020","Undergraduate","Environment","","false","Gold","Best Supporting Entrepreneurship (Winner)",""
"Fudan","2020","Undergraduate","Food & Nutrition","","false","Gold","Best Education (Nominee) | Inclusivity Award (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Best Sustainable Development Impact (Winner)",""
"GreatBay_SCIE","2020","High School","High School","1st Runner-up","false","Gold","Best Hardware (Winner) | Best Integrated Human Practices (Winner) | Best Measurement (Nominee) | Best Model (Winner) | Best New Basic Part (Nominee) | Best Poster (Nominee) | Best Presentation (Nominee) | Best Wiki (Winner)",""
"GreatBay_SZ","2020","High School","High School","","false","Gold","Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Poster (Nominee) | Best Presentation (Nominee) | Best Supporting Entrepreneurship (Winner) | Best Wiki (Nominee)",""
"Grenoble_Alpes","2020","Undergraduate","Therapeutics","","false","Gold","Best Hardware (Nominee) | Best Software Tool (Nominee)",""
"Groningen","2020","Graduate","Food & Nutrition","","false","Gold","Best Wiki (Nominee) | Track (Nominee)",""
"GunnVistaPingry_US","2020","High School","High School","","false","Gold","Best Model (Nominee) | Best Software Tool (Nominee)",""
"GZ_HFI","2020","High School","High School","","false","Gold","Best New Basic Part (Nominee) | Best Part Collection (Nominee)",""
"Hainan_China","2020","High School","High School","","false","Bronze","Best Promotion Video (Winner)",""
"Hannover","2020","Graduate","Diagnostics","","false","Gold","Best New Basic Part (Nominee)",""
"Harvard","2020","Undergraduate","Therapeutics","","false","Gold","Best Model (Nominee)",""
"IISER-Pune-India","2020","Undergraduate","Therapeutics","","false","Gold","iGEMers Prize (Winner)",""
"KCL_UK","2020","Graduate","Therapeutics","","false","Gold","Best Model (Nominee) | Best Supporting Entrepreneurship (Nominee) | Track (Winner)",""
"KEYSTONE","2020","High School","High School","","false","Gold","Best Education (Nominee)",""
"Korea_HS","2020","High School","High School","","false","Gold","iGEMers Prize (Winner)",""
"KU_ISTANBUL","2020","Undergraduate","New Application","","false","Gold","Inclusivity Award (Nominee)",""
"Lambert_GA","2020","High School","High School","","false","Gold","Best Education (Nominee) | Best Integrated Human Practices (Nominee) | Best Model (Nominee) | Best Sustainable Development Impact (Winner)",""
"Leiden","2020","Graduate","Diagnostics","Grand Prize Winner","false","Gold","Inclusivity Award (Winner) | Best Integrated Human Practices (Nominee) | Best Model (Nominee) | Best New Basic Part (Nominee) | Best Poster (Nominee) | Best Supporting Entrepreneurship (Winner) | Best Wiki (Winner) | Track (Winner)",""
"Lethbridge_HS","2020","High School","High School","","false","Silver","Best Integrated Human Practices (Nominee)",""
"LINKS_China","2020","High School","High School","","false","Gold","Best New Basic Part (Nominee) | Best Part Collection (Nominee)",""
"Manchester","2020","Undergraduate","Environment","","false","Gold","Best Supporting Entrepreneurship (Nominee)",""
"Mingdao","2020","High School","High School","","false","Gold","Best Model (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee)",""
"NCKU_Tainan","2020","Undergraduate","Therapeutics","","false","Gold","Best Hardware (Winner) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Poster (Nominee) | Best Supporting Entrepreneurship (Nominee)",""
"NCTU_Formosa","2020","Undergraduate","Foundational Advance","","false","Gold","Best New Composite Part (Winner)",""
"Nottingham","2020","Undergraduate","Therapeutics","","false","Gold","Best Model (Nominee)",""
"OhioState","2020","Undergraduate","Foundational Advance","","false","Gold","Best Integrated Human Practices (Nominee)",""
"OUC-China","2020","Undergraduate","Information Processing","","false","Gold","Best Part Collection (Nominee)",""
"Paris_Bettencourt","2020","Graduate","Foundational Advance","","false","Bronze","Best Poster (Nominee)",""
"PYMS_GZ_China","2020","High School","High School","","false","Gold","Inclusivity Award (Winner)",""
"QHFZ-China","2020","High School","High School","","false","Gold","Best New Composite Part (Nominee) | Best Part Collection (Nominee)",""
"Queens_Canada","2020","Undergraduate","Diagnostics","","false","Gold","Best Model (Nominee)",""
"Rochester","2020","Undergraduate","Diagnostics","","false","Gold","Best Education (Nominee) | Inclusivity Award (Winner) | Best Integrated Human Practices (Nominee) | Best Software Tool (Nominee)",""
"SDU-Denmark","2020","Graduate","Diagnostics","","false","Gold","Best Education (Nominee) | Best Hardware (Winner) | Best Integrated Human Practices (Nominee) | Best Wiki (Winner) | Track (Nominee)",""
"Shanghai_SFLS_SPBS","2020","High School","High School","","false","Gold","Best Model (Nominee) | Best Wiki (Nominee)",""
"SHSBNU_China","2020","High School","High School","","false","Gold","Best Model (Nominee) | Best Poster (Nominee)",""
"SMS_Shenzhen","2020","High School","High School","","false","Gold","Best Education (Nominee)",""
"Sorbonne_U_Paris","2020","Undergraduate","Environment","","false","Gold","Best Plant Synthetic Biology (Winner)",""
"Stanford","2020","Graduate","Diagnostics","","false","Gold","Best Education (Nominee) | Track (Nominee)",""
"Stockholm","2020","Graduate","Environment","","false","Gold","Best New Composite Part (Nominee) | Track (Nominee)",""
"SZ-SHD","2020","High School","High School","","false","Gold","Best New Composite Part (Nominee)",""
"TAS_Taipei","2020","High School","High School","Grand Prize Winner","false","Gold","Best Education (Winner) | Best Hardware (Nominee) | Best Integrated Human Practices (Nominee) | Best Measurement (Winner) | Best Model (Nominee) | Best New Basic Part (Winner) | Best New Composite Part (Winner) | Best Part Collection (Winner) | Best Poster (Winner) | Best Presentation (Winner) | Best Software Tool (Winner) | Best Supporting Entrepreneurship (Nominee) | Best Wiki (Nominee)",""
"TAU_Israel","2020","Graduate","Foundational Advance","","false","Gold","Best Model (Nominee) | Best Presentation (Nominee) | Best Software Tool (Winner) | Track (Nominee)",""
"Technion-Israel","2020","Graduate","New Application","","false","Gold","Inclusivity Award (Nominee)",""
"Toulouse_INSA-UPS","2020","Undergraduate","Food & Nutrition","1st Runner-up","false","Gold","Best Education (Nominee) | Best Poster (Winner) | Best Presentation (Nominee) | Best Supporting Entrepreneurship (Nominee) | Best Sustainable Development Impact (Nominee) | Best Wiki (Nominee)",""
"TU_Darmstadt","2020","Graduate","Environment","","false","Gold","Best Sustainable Development Impact (Winner) | Best Wiki (Nominee) | Track (Nominee)",""
"TU_Kaiserslautern","2020","Graduate","Environment","","false","Gold","Best New Basic Part (Nominee) | Best Presentation (Nominee) | Track (Winner)",""
"TUDelft","2020","Graduate","Food & Nutrition","","false","Gold","Best Education (Nominee) | Best Integrated Human Practices (Winner) | Best New Basic Part (Winner) | Best New Composite Part (Winner) | Best Part Collection (Nominee) | Best Poster (Winner) | Best Presentation (Winner) | Best Supporting Entrepreneurship (Nominee) | Best Sustainable Development Impact (Nominee) | Best Wiki (Nominee) | iGEMers Prize (Winner) | Safety Commendation (Winner) | Track (Winner)",""
"UCopenhagen","2020","Graduate","Diagnostics","","false","Gold","Best Education (Winner) | Best Integrated Human Practices (Nominee) | Best New Basic Part (Nominee) | Best Presentation (Nominee)",""
"UCSC","2020","Graduate","Environment","","false","Gold","Track (Nominee)",""
"UiOslo_Norway","2020","Graduate","Diagnostics","","false","Gold","Best Software Tool (Nominee)",""
"UNILausanne","2020","Graduate","Therapeutics","","false","Gold","Best Education (Nominee) | Best Measurement (Winner) | Best New Composite Part (Nominee) | Best Part Collection (Nominee)",""
"UNSW_Australia","2020","Undergraduate","Environment","","false","Gold","Best Education (Winner) | Best Integrated Human Practices (Winner) | Best New Basic Part (Nominee) | Best Presentation (Nominee)",""
"UofUppsala","2020","Graduate","New Application","","false","Gold","Track (Winner)",""
"UPF_Barcelona","2020","Undergraduate","Therapeutics","","false","Gold","Best New Basic Part (Winner) | Best Poster (Nominee) | Best Presentation (Nominee) | Best Wiki (Winner)",""
"UZurich","2020","Undergraduate","New Application","","false","Gold","Best New Basic Part (Nominee) | Best Part Collection (Nominee)",""
